S.No.,Player_name,Team,Matches,Innings,Not_out,Total_runs_scored,Highest_score,Batting_avg,Total_balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,Nineties,Best_Bowling,Wkts_taken,5_wkts,4_wkts,Catch_taken,Stamp_by_wk,Balls_bowled,Bowling_avg,Economy,Runs_given,Category
98,William O'Rourke,LSG,3,3,0,0,0,NA,0,NA,0,0,NA,0,0,0,3 for 27,6,0,0,1,0,62,22,12.77,132,Bowler
99,Ravi Bishnoi,LSG,11,11,1,13,13,6.5,16,81.25,0,0,NA,0,2,0,2 for 18,9,0,0,6,0,222,44.56,10.84,401,Bowler
100,MS Dhoni,CSK,14,14,5,196,30,24.5,145,135.17,0,0,NA,12,12,0,0,0,0,0,6,5,0,NA,NA,0,WK Batsman
101,Dewald Brevis,CSK,6,6,0,225,57,37.5,125,180,0,2,NA,13,17,0,0,0,0,0,6,0,0,NA,NA,0,Batsman
102,Devon Conway,CSK,6,6,0,156,69,26,119,131.09,0,2,NA,17,4,0,0,0,0,0,2,0,0,NA,NA,0,Batsman
103,Rahul Tripathi,CSK,5,5,0,55,23,11,57,96.49,0,0,NA,6,1,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
104,Rachin Ravindra,CSK,8,8,1,191,65,27.29,149,128.19,0,1,NA,18,4,0,0,0,0,0,2,0,0,NA,NA,0,Batsman
105,Ravichandran Ashwin,CSK,9,9,0,33,13,8.25,30,110,0,0,NA,3,1,0,2 for 41,7,0,0,4,0,186,40.43,9.13,283,AR
106,Khaleel Ahmed,CSK,14,14,2,1,1,NA,2,50,0,0,NA,0,0,0,3 for 29,15,0,0,1,0,280,29.8,9.58,447,Bowler
107,Vijay Shankar,CSK,6,6,2,118,69,39.33,91,129.67,0,1,NA,8,3,0,0,0,0,0,2,0,0,NA,NA,0,AR
108,Sam Curran,CSK,5,5,0,114,88,22.8,84,135.71,0,1,NA,11,4,0,1 for 34,1,0,0,3,0,72,133,11.08,133,AR
109,Shaik Rasheed,CSK,5,5,0,71,27,14.2,63,112.7,0,0,NA,9,2,0,0,0,0,0,1,0,0,NA,NA,0,Batsman
110,Anshul Kamboj,CSK,8,8,3,14,5,7,12,116.67,0,0,NA,2,0,0,3 for 13,8,0,0,1,0,129,21.5,8,172,Bowler
111,Mukesh Choudhary,CSK,2,2,0,0,0,NA,0,NA,0,0,NA,0,0,0,1 for 21,1,0,0,0,0,36,71,11.83,71,Bowler
112,Deepak Hooda,CSK,7,7,0,31,22,6.2,41,75.61,0,0,NA,2,1,0,0 for 15,0,0,0,3,0,6,NA,15,15,AR
113,Nathan Ellis,CSK,1,1,0,0,0,NA,0,NA,0,0,NA,0,0,0,1 for 38,1,0,0,0,0,24,38,9.5,38,Bowler
114,Jamie Overton,CSK,3,3,2,15,11,NA,7,214.29,0,0,NA,1,1,0,0 for 24,0,0,0,0,0,36,NA,13.83,83,Bowler
115,Ravindra Jadeja,CSK,14,14,5,301,77,33.44,222,135.59,0,2,NA,25,10,0,2 for 17,10,0,0,6,0,227,32.4,8.56,324,AR
116,Shivam Dube,CSK,14,14,3,357,50,32.45,270,132.22,0,1,NA,22,21,0,0 for 33,0,0,0,4,0,12,NA,16.5,33,AR
117,Urvil Patel,CSK,3,3,0,68,37,22.67,32,212.5,0,0,NA,5,6,0,0,0,0,0,2,0,0,NA,NA,0,Batsman
